frameNo,label,confidence,xmin,ymin,xmax,ymax
1.0,pedestrian,0.8919318318367004,255.4028549194336,219.18764877319336,301.20838165283203,307.94766998291016
1.0,pedestrian,0.8799412250518799,497.62481689453125,157.42175674438477,529.8356323242188,234.29546356201172
1.0,pedestrian,0.8677135109901428,634.3795166015625,240.5658073425293,683.8927001953125,323.8073959350586
1.0,car,0.6544246673583984,734.1997833251953,51.67118167877197,767.2084808349609,95.00472736358643
1.0,car,0.4713609516620636,651.4318542480469,44.6315975189209,723.9472045898438,101.39115715026855
1.0,unknown,0.45510825514793396,651.3534851074219,44.36672401428223,722.3467712402344,100.7682752609253
1.0,unknown,0.2490084022283554,68.27468490600586,496.8040580749512,162.10120010375977,528.8869857788086
2.0,pedestrian,0.8917888402938843,255.95196533203125,219.60217666625977,306.76556396484375,308.8065948486328
2.0,pedestrian,0.8495354056358337,495.97462463378906,158.4330997467041,528.7139739990234,236.3708152770996
2.0,pedestrian,0.8430801033973694,632.0984802246094,240.4983787536621,675.8564758300781,325.89534759521484
2.0,car,0.6603225469589233,734.2436828613281,51.6242151260376,767.135009765625,94.82928943634033
2.0,car,0.501865029335022,651.2377624511719,44.72762060165405,724.4129333496094,101.50423049926758
2.0,unknown,0.42732131481170654,651.2491149902344,44.42892551422119,722.7391662597656,100.82790184020996
2.0,unknown,0.22741292417049408,68.17292404174805,496.7709617614746,162.16819381713867,528.9061431884766
2.0,pedestrian,0.22456079721450806,689.1503448486328,180.24228286743164,716.5409088134766,239.68672943115234
2.0,car,0.2109275758266449,282.3908157348633,45.72373723983765,306.38692474365234,62.31930685043335
3.0,pedestrian,0.8475112915039062,618.6479644775391,239.05673217773438,649.3842315673828,324.53414154052734
3.0,pedestrian,0.8426221013069153,273.44219970703125,216.00848007202148,307.4662170410156,302.3286437988281
3.0,pedestrian,0.8247678279876709,494.1175231933594,159.54757690429688,521.5911254882812,236.85490036010742
3.0,car,0.6600460410118103,734.1019134521484,51.5495080947876,767.1564788818359,94.8390998840332
3.0,car,0.4888869524002075,651.230712890625,44.66543197631836,723.8883361816406,101.48781108856201
3.0,unknown,0.4342350363731384,651.3008422851562,44.390859603881836,722.466064453125,100.80937099456787
3.0,unknown,0.2452501356601715,68.10995292663574,496.7479934692383,162.20594787597656,528.9834251403809
4.0,pedestrian,0.8608145117759705,281.08838653564453,211.78912925720215,314.76184844970703,301.541748046875
4.0,pedestrian,0.8530035018920898,598.4159545898438,239.50619316101074,647.6168518066406,324.0446319580078
4.0,pedestrian,0.8180820941925049,492.9731140136719,159.82735061645508,518.0859375,237.22247886657715
4.0,car,0.6617449522018433,734.0757293701172,51.65135478973389,767.1573028564453,94.79122352600098
4.0,car,0.49631041288375854,651.2258148193359,44.62579536437988,723.6745147705078,101.49199962615967
4.0,unknown,0.423247754573822,651.2892150878906,44.41752290725708,722.3583068847656,100.8669376373291
4.0,unknown,0.22382518649101257,68.03250503540039,496.68983459472656,162.1860008239746,528.9636497497559
4.0,car,0.2023608386516571,282.4130401611328,45.2290563583374,306.8324432373047,62.780625343322754
5.0,pedestrian,0.9001531004905701,282.4661865234375,210.70355987548828,322.2670440673828,302.19519424438477
5.0,pedestrian,0.8958420157432556,592.0235595703125,240.36642265319824,645.6917724609375,325.78658294677734
5.0,pedestrian,0.8346489071846008,488.28501892089844,161.9062042236328,516.3704681396484,239.3008689880371
5.0,car,0.6595638394355774,733.6976165771484,51.7499098777771,766.9457244873047,94.68608093261719
5.0,car,0.4947114884853363,651.2751617431641,44.6120023727417,723.6556549072266,101.37675476074219
5.0,unknown,0.4232097566127777,651.2789611816406,44.38944339752197,722.2823181152344,100.74431991577148
5.0,unknown,0.2390170693397522,68.13276672363281,496.6277618408203,162.2017822265625,529.0131912231445
5.0,pedestrian,0.20049095153808594,446.876953125,181.49077606201172,468.98382568359375,198.51000595092773
5.0,car,0.20028041303157806,282.4360656738281,45.671831130981445,306.77398681640625,62.91793727874756
6.0,pedestrian,0.9102669358253479,287.1724548339844,210.93880462646484,328.3120880126953,302.5158576965332
6.0,pedestrian,0.8289790153503418,590.5909881591797,239.4550380706787,632.7033233642578,325.1916732788086
6.0,pedestrian,0.8178757429122925,483.72454833984375,163.0880241394043,514.9894409179688,241.54676628112793
6.0,car,0.6596615314483643,734.0451965332031,51.567935943603516,767.1638488769531,94.87871932983398
6.0,car,0.5036830306053162,651.1582489013672,44.62400150299072,723.5763702392578,101.33370208740234
6.0,unknown,0.41037827730178833,651.2071838378906,44.37943983078003,722.2752685546875,100.71526622772217
6.0,unknown,0.22498777508735657,68.12269592285156,496.7223472595215,162.17310333251953,529.0974082946777
7.0,pedestrian,0.9225451350212097,292.48743438720703,211.84014701843262,331.6842269897461,300.18871307373047
7.0,pedestrian,0.8530577421188354,482.0942687988281,162.79014015197754,511.8483581542969,240.8822479248047
7.0,pedestrian,0.7739583253860474,585.0849151611328,236.0903377532959,611.7936859130859,326.19376373291016
7.0,car,0.6630753874778748,734.0618133544922,51.61548614501953,767.1671905517578,94.91500854492188
7.0,car,0.5013746023178101,651.2141418457031,44.6292028427124,723.6162414550781,101.39754295349121
7.0,unknown,0.4182395339012146,651.2542419433594,44.407888412475586,722.3041076660156,100.78340721130371
7.0,unknown,0.229167640209198,68.13955879211426,496.72863006591797,162.0648193359375,529.0590934753418
7.0,pedestrian,0.2020004838705063,448.1421203613281,182.07009887695312,468.9247741699219,198.24765586853027
8.0,pedestrian,0.8596410751342773,478.12188720703125,163.05413818359375,506.87054443359375,241.7058620452881
